Diversgence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.010220575,0,8.88E-05,0,0.034976734,0,0,7.79E-05,0
1,0.024830972,0,0,0,0.104003609,0,0,4.36E-05,0
2,0.017401864,0,2.73E-05,0,0.442848997,0,0,0.000155082,0
3,0.022048855,0,0.000141833,4.75E-05,0.845154691,2.18E-05,0,0.000361597,0
4,0.021503342,0,5.84E-05,7.56E-05,0.779638581,0,0,0.025816012,0
5,0.071445835,2.96E-05,0.000119234,2.96E-05,0.782475249,7.01E-05,0,0.021336571,0
6,0.156575474,0,0.000103647,5.53E-05,1.418627551,0.000177681,0,0.001810324,0
7,0.119836733,2.49E-05,0.000171447,9.20E-05,1.523108873,6.78E-05,0,0.108445643,0
8,0.063530442,0,0.000198723,3.12E-05,1.75430273,0.000162875,0,0.134388682,0
9,0.03412963,8.73E-05,0.00017924,0.000319515,1.425555566,3.74E-05,0,0.125271601,0
10,0.040624352,0,0.000583699,0.000227557,1.267233671,8.10E-05,0,0.081472364,0
11,0.04764978,0.000117675,0.000374066,0.000209633,1.622652523,1.87E-05,0,0.094900556,0
12,0.03726555,2.18E-05,0.000572789,0.000252495,1.353907891,0.000233791,0,0.099072171,0
13,0.033780502,8.81E-05,0.000738001,0.000315618,1.064787569,0.000194047,4.29E-05,0.103715266,0
14,0.035064795,3.66E-05,0.000760601,0.000211191,0.843092651,0.000275094,0,0.094026955,0
15,0.065993043,9.20E-05,0.001302217,0.000695139,0.824761077,0.000446541,0,0.146920674,0
16,0.096065615,0.000141833,0.000865807,0.000441086,1.009891818,0.000135599,0,0.156823293,0
17,0.09708027,2.96E-05,0.001044268,0.000961661,1.105068247,0.000293018,0,0.191237369,0
18,0.067190055,0.000220543,0.001585105,0.000556423,0.952409557,0.000467583,4.91E-05,0.230692764,0
19,0.061473858,0.00019015,0.001641994,0.00099673,0.962973805,0.000460569,0,0.250807386,0
20,0.069244301,0.000225998,0.001184542,0.001020889,1.301013393,0.000482389,0,0.395607573,0
21,0.080713322,0.000130923,0.001250783,0.001625629,1.690910225,0.000298474,0.000177681,0.382138858,0
22,0.077872757,9.12E-05,0.002183611,0.00062734,1.739914435,0.000566554,0,0.450252388,0
23,0.073334869,3.90E-05,0.001203246,0.000352246,1.811560552,0.000596947,6.55E-05,0.5242333,0
24,0.062055998,3.12E-05,0.001049723,0.000758263,1.578542343,0.000406797,0,0.576137301,0
25,0.056661654,0.000118454,0.001213377,0.000635133,1.652995514,0.000342115,0,0.513186662,0
26,0.054036957,0,0.001323259,0.000629678,1.741024164,0.000430955,0.000122351,0.650188351,0
27,0.052654472,0,0.001060633,0.001631084,1.560174921,0.000185474,0,0.629621732,0
28,0.0538546,0,0.001506395,0.00038108,1.441205554,0.000205736,0.000322632,0.686125967,0
29,0.06030646,0,0.000704491,0.000585257,1.445360804,0.000592271,0,0.698570676,0
30,0.069630836,5.38E-05,0.001195453,0.001256238,1.294616085,0.000256391,0.000121571,0.754186504,0
31,0.059128152,0,0.000507327,0.001573415,1.270510645,0.000187812,0.000106765,0.758162515,0
32,0.0680356,6.94E-05,0.000989716,0.00075047,1.166509374,0.000221322,0,0.649310854,0
33,0.065184126,5.69E-05,0.00111986,0,0.950455841,0.000324191,7.48E-05,0.603551667,0
34,0.061761421,0,0.000494858,0.000668643,0.695740243,0.000148847,0.000250936,0.485979592,0
35,0.058282607,0,0.001419892,0.000535382,0.552811166,0.000112999,0,0.383182346,0
36,0.054719628,0,0.001302997,0.000346011,0.558796223,0.000283667,0,0.438064848,0
37,0.050335262,0,0.00068345,0.000125468,0.443754549,0.000162095,6.70E-05,0.38351355,0
38,0.043528819,0,0.002482863,0.000226778,0.389895273,0.000141833,0,0.29545061,0
39,0.040059356,0,0.000361597,0.000346011,0.385700278,0.000271198,0,0.291689688,0
40,0.039510726,0,0.000646043,0,0.281307017,0.000283667,0,0.278789085,0
41,0.034386021,0,0.000620326,0,0.296713083,0,0,0.244533208,0
42,0.024974364,0,0.001213377,0.000222102,0.320891777,9.74E-05,0,0.234908021,0
43,0.015049924,0,0.000204957,0,0.285340696,0.00021275,0,0.176631648,0
44,0.013938636,0,0.000689684,0,0.146498291,0.000103647,0,0.178135706,0
45,0.008739118,0,8.34E-05,0,0.138650697,0.00016755,0,0.189244688,0
46,0.006909312,0,0.000429397,0,0.09281202,0.000115337,0,0.139193872,0
47,0.006078573,0,0.00010131,0,0.061031992,0,0,0.160386272,0
48,0.004848052,0,0,0,0.065756135,0,0,0.133576647,0
49,0.002852254,0,0,0,0.047668483,0,0,0.121594844,0
50,0.001371575,0,0,0,0.043125918,0,0,0.098465873,0
