Divergence,DNA/TIRS,DNA/Crypton,RC/Helitron,Maverick,LTR,DIRS,PLE,LINE,SINE
0,0.007077478,6.59E-05,0.000181781,0.00063124,0.000874946,4.79E-05,0,0.000485416,0
1,0.001993599,0,0,0,0.000135836,0,0,0.000147822,0
2,0.010541307,0,0.000399519,0.000155812,0.000255692,0,0,0.000387533,0
3,0.012792596,5.39E-05,0.00068917,0.001903708,0.001416295,5.99E-05,0,0.000723129,0
4,0.015796979,4.79E-05,0.000729122,0.002900507,0.000795043,0,0,0.000357569,0
5,0.015982755,7.99E-05,0.000391529,0.004093071,0.00047343,0,0,0.005842964,0
6,0.027141319,7.79E-05,0.006052712,0.007359139,0.002850568,0.000263682,0,0.005211724,0
7,0.025754988,0,0.004926068,0.004129028,0.004278848,0.000355572,0,0.001430278,0
8,0.049828001,0.000147822,0.001102672,0.004982001,0.004948042,7.59E-05,9.39E-05,0.007045516,0
9,0.04088477,0.000267678,0.001240506,0.018741433,0.00391129,0,0,0.008829368,0
10,0.056022542,0.000345584,0.002445056,0.023925191,0.008611631,0.000209747,0,0.015145763,0
11,0.049750095,0.00030763,0.002057522,0.017185307,0.005535335,0.000319615,0.000153815,0.011671946,0
12,0.066292176,0.000163803,0.003569702,0.020691085,0.015798976,0.000287654,0,0.009228887,0
13,0.066595811,0.000483418,0.007139403,0.025025866,0.010257649,0.001048737,0,0.017736643,0
14,0.066873476,0.000263682,0.012752644,0.031170467,0.011669948,0.001224526,0,0.013535701,0
15,0.087724369,0.000339591,0.005751075,0.028497685,0.011590044,0.000825007,0.000163803,0.01587888,0
16,0.096208154,0.000325608,0.008981186,0.035063779,0.012710695,0.001074706,0,0.01898514,0
17,0.105065489,0.000263682,0.011727878,0.034648279,0.013028312,0.000393526,0.000247702,0.010866915,0
18,0.117063042,0.000405512,0.006580077,0.035247558,0.01308824,0.001324405,0.000131841,0.010319574,0
19,0.124609955,0.000617257,0.011462198,0.022369065,0.016939603,0.001060723,0,0.016172526,0
20,0.124917584,0.00053136,0.008248068,0.034612323,0.014406653,0.001206547,0,0.026514074,0
21,0.140378967,0.000355572,0.010449418,0.033839253,0.013749444,0.002846572,0,0.020011903,0
22,0.147839983,0.001302432,0.012468986,0.027153304,0.017303165,0.001164598,0,0.027664688,0
23,0.146195963,0.000183779,0.010311584,0.027814508,0.016182514,0.00163603,0,0.025395421,0
24,0.166127962,0.001068713,0.021018691,0.03915685,0.020415417,0.002227318,0,0.016124584,0
25,0.174591771,0.000377545,0.012774618,0.022520882,0.013154161,0.001048737,0,0.024724229,0
26,0.197168585,0.000217738,0.013677531,0.02484009,0.0156132,0.00210147,0,0.027105362,0
27,0.203015545,0,0.014270816,0.022005503,0.017948388,0.00263283,0.000183779,0.025375445,0
28,0.197496191,0.000225728,0.018763407,0.054991783,0.01240706,0.001697955,0,0.022089402,0
29,0.203980383,0.000111865,0.015673128,0.037758534,0.020842903,0.000815019,0,0.01551332,0
30,0.229028223,9.19E-05,0.023463747,0.035433334,0.021611977,0.002596873,0,0.033038218,0
31,0.244977018,0.000167798,0.033969097,0.027916385,0.021739823,0.002077498,0,0.01942461,0
32,0.243898317,0.000109868,0.035385392,0.033000264,0.021566032,0.001550133,0,0.02126839,0
33,0.2454904,0.000135836,0.037145273,0.02454045,0.013607615,0.000974826,9.79E-05,0.028907192,0
34,0.255682128,0.000119856,0.041627875,0.040425323,0.014544487,0.001322408,0,0.023088199,0
35,0.228746562,0.0001658,0.036729773,0.025053832,0.022948367,0.001400314,0,0.012111416,0
36,0.197492196,0,0.032119324,0.021967548,0.020373468,0.000910903,0,0.011298395,0
37,0.155512744,0,0.023371857,0.013975172,0.018959171,0.000569314,0,0.01614456,0
38,0.14497743,0,0.016204488,0.020239629,0.017706679,0.002255284,0,0.007437045,0
39,0.102482599,0,0.010533317,0.019083022,0.016937605,0.000968833,0,0.007716708,0
40,0.095916505,0,0.020519292,0.01551332,0.013625593,0.000293646,0,0.003675574,0
41,0.07643796,0,0.011829756,0.008385902,0.008915265,0.000189771,0,0.005163782,0
42,0.057496767,0,0.009896084,0.009093051,0.00749098,0.000467437,0,0.001594081,0
43,0.038793288,0,0.005573289,0.003555718,0.005335575,0.000203755,0,0.002656801,0
44,0.019937992,0,0.003401904,0.004127031,0.005627224,0.000994802,0,0.003519762,0
45,0.016809759,0,0.001214538,0.00526566,0.003126236,0.000219735,0,0.003833384,0
46,0.011040706,0,0.002826596,0.002449051,0.001883732,-2.60E-05,0,0.001751891,0
47,0.004512566,0,0.000809026,0.005457429,0.002281253,4.79E-05,0,0.000383538,0
48,0.002932469,0,0.000327606,0.00046544,0.001006788,0.000247702,0,0.000235716,0
49,0.002289243,0,0,0.001811818,0.001356367,0,0,0.000617257,0
50,0.0007471,0,0.000593286,0.001462239,5.39E-05,0.000489411,0,0,0
